Name;Number;Istitution;City;Country;Adress;Year;Site;Latitude;Longitude
Venice Centre for Digital and Public Humanities;1;Ca' Foscari University of Venice;Venezia;Italy;Calle Contarini, 3484, 30123 Venezia VE;—;https://www.unive.it/pag/39287;45.4350997;12.3231063
Art & Technology Task Force;2;Norwegian University of Science and Technology NTNU;Trondheim;Norway;Høgskoleringen 1, 7034 Trondheim, Norway;—;https://www.ntnu.edu/artec;63.4195043;10.4019248
Digital Humanities Advanced Research Centre;3;University of Bologna;Bologna;Italy;Via Zamboni, 36, 40126 Bologna BO;2019;https://centri.unibo.it/dharc/en;44.4965321;11.3511481
Utrecht Digital Humanities Lab;4;University of Utrecht;Utrecht;Netherlands;Heidelberglaan 8, 3584 CS Utrecht, Netherlands;—;https://cdh.uu.nl/;52.0917954;5.1256438
Mainz Centre for Digitality in the Humanities and Cultural Studies;5;Hochschule Mainz University of Applied Sciences;Mainz;Germany;Lucy-Hillebrand-Straße 2, 55128 Mainz, Germany;2015;https://i3mainz.hs-mainz.de/en/projekte/mainzed/;49.9885302;8.2275109
Centre Informatique de Philosophie & Lettres;6;University of Liege;Liege;Belgium;Quai Roosevelt 1b/Bâtiment A4, 4000 Liège, Belgium;1983;https://www.cipl.uliege.be/cms/c_4535714/fr/cipl?id=c_4535714;50.6407748;5.5763076
Cologne Center for eHumanities;7;University of Cologne;Cologne;Germany;Universitätsstraße 22, 50937 Köln, Germany;2009;https://cceh.uni-koeln.de/en/;50.9265051;6.9297519
Digital Humanities Observatory;8;Royal Irish Academy;Dublin;Ireland;19 Dawson St, Dublin 2, D02 HH58, Ireland;—;https://www.ria.ie/research-projects/archive/digital-humanities-observatory;53.34055709838867;-6.2584228515625
Göttingen Centre for Digital Humanities;9;Georg-August-Universität Göttingen;Göttingen;Germany;Papendiek 16, 37073 Göttingen, Germany;2011;https://www.gcdh.de/en/welcome/;51.5337411;9.9312358
Humanities Research Centre;10;University of Sheffield;Sheffeld;United Kingdom;Broomhall, Sheffield S3 7RD, United Kingdom;1996;https://www.shu.ac.uk/humanities-research-centre;53.380936;-1.483213
HUMlab;11;University of Umeå;Umeå;Sweden;UNIVERSITETSTORGET 4, 901 87 Umeå, Sweden;—;https://www.umu.se/en/humlab/;63.8284;20.2597
Laboratorio de Innovación en Humanidades Digitales;12;Universidad Nacional de Educación a Distancia;Madrid;Spain;C. de Juan del Rosal, 16, Moncloa - Aravaca, 28040 Madrid, Spain;—;https://linhd.uned.es/;40.4380362;-3.7035045
Digital Transformations Hub;13;University of Nottingham;Nottingham;United Kingdom;Innovative Technology Research Centre,University of Nottingham, University Park, Nottingham NG7 2RD, United Kingdom;—;https://www.nottingham.ac.uk/artsdigitalhub/artsdigitalhub.aspx;52.940521;-1.191193
